Dataset,Classifier,Base F1,FROID F1,Delta F1 (%),Base AUC,FROID AUC
ecoli1,DT,0.7285 ± 0.033,0.7212 ± 0.061,-1.01%,0.8220,0.8268
ecoli1,kNN,0.7744 ± 0.034,0.7744 ± 0.034,+0.00%,0.9159,0.9159
ecoli1,LR,0.7434 ± 0.112,0.7434 ± 0.112,+0.00%,0.9523,0.9525
ecoli1,SVM,0.7927 ± 0.097,0.7927 ± 0.097,+0.00%,0.9490,0.9490
ecoli1,RF,0.8063 ± 0.059,0.7647 ± 0.091,-5.16%,0.9527,0.9519
yeast1,DT,0.5487 ± 0.048,0.5088 ± 0.033,-7.28%,0.6816,0.6546
yeast1,kNN,0.5005 ± 0.031,0.5005 ± 0.031,+0.00%,0.7510,0.7509
yeast1,LR,0.4467 ± 0.036,0.4524 ± 0.040,+1.29%,0.7908,0.7930
yeast1,SVM,0.4763 ± 0.029,0.4763 ± 0.029,+0.00%,0.7832,0.7832
yeast1,RF,0.5587 ± 0.046,0.5756 ± 0.045,+3.04%,0.8182,0.8158
haberman,DT,0.3086 ± 0.117,0.3261 ± 0.070,+5.65%,0.5349,0.5450
haberman,kNN,0.2203 ± 0.069,0.2475 ± 0.067,+12.38%,0.6106,0.6127
haberman,LR,0.2273 ± 0.125,0.2273 ± 0.125,+0.00%,0.6916,0.6937
haberman,SVM,0.2730 ± 0.071,0.2730 ± 0.071,+0.00%,0.7026,0.7037
haberman,RF,0.3109 ± 0.067,0.3335 ± 0.109,+7.29%,0.6465,0.6195
glass1,DT,0.7466 ± 0.019,0.7215 ± 0.031,-3.35%,0.8127,0.7952
glass1,kNN,0.6830 ± 0.084,0.6830 ± 0.084,+0.00%,0.8717,0.8717
glass1,LR,0.6149 ± 0.113,0.6149 ± 0.113,+0.00%,0.8228,0.8223
glass1,SVM,0.7201 ± 0.031,0.7201 ± 0.031,+0.00%,0.8488,0.8488
glass1,RF,0.8069 ± 0.028,0.8452 ± 0.061,+4.75%,0.9430,0.9447
