Dataset,Fold,RF_Baseline,RF_FROID,RF_Proposed,LR_Baseline,LR_FROID,LR_Proposed
ecoli1,1,0.8205128205128205,0.8,0.7368421052631579,0.6470588235294118,0.6470588235294118,0.6857142857142857
ecoli1,2,0.9032258064516129,0.8275862068965517,0.8387096774193549,0.8888888888888888,0.8888888888888888,0.8888888888888888
ecoli1,3,0.72,0.5833333333333334,0.64,0.5925925925925926,0.5925925925925926,0.5925925925925926
ecoli1,4,0.7878787878787878,0.8,0.8,0.75,0.75,0.7272727272727273
ecoli1,5,0.8,0.8125,0.8,0.8387096774193549,0.8387096774193549,0.8666666666666667
yeast1,1,0.5277777777777778,0.5734265734265734,0.5555555555555556,0.3968253968253968,0.3937007874015748,0.42962962962962964
yeast1,2,0.527027027027027,0.5960264900662252,0.5454545454545454,0.49635036496350365,0.4852941176470588,0.49635036496350365
yeast1,3,0.6206896551724138,0.6438356164383562,0.6351351351351351,0.47540983606557374,0.5040650406504065,0.5196850393700787
yeast1,4,0.6071428571428571,0.5575757575757576,0.593939393939394,0.44285714285714284,0.45714285714285713,0.4647887323943662
yeast1,5,0.5106382978723404,0.5072463768115942,0.5,0.421875,0.421875,0.4461538461538462
haberman,1,0.42857142857142855,0.5333333333333333,0.4666666666666667,0.2727272727272727,0.2727272727272727,0.3
haberman,2,0.3333333333333333,0.23076923076923078,0.20689655172413793,0.2,0.2,0.2
haberman,3,0.2857142857142857,0.2962962962962963,0.16,0.3,0.3,0.3
haberman,4,0.23076923076923078,0.25,0.2857142857142857,0.36363636363636365,0.36363636363636365,0.36363636363636365
haberman,5,0.27586206896551724,0.35714285714285715,0.3448275862068966,0.0,0.0,0.1
glass1,1,0.8,0.896551724137931,0.8666666666666667,0.5925925925925926,0.5925925925925926,0.5925925925925926
glass1,2,0.8148148148148148,0.9285714285714286,0.9285714285714286,0.6666666666666666,0.6666666666666666,0.6666666666666666
glass1,3,0.7586206896551724,0.7857142857142857,0.8275862068965517,0.7586206896551724,0.7586206896551724,0.6896551724137931
glass1,4,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.64,0.64,0.5833333333333334
glass1,5,0.8148148148148148,0.7692307692307693,0.8148148148148148,0.4166666666666667,0.4166666666666667,0.4166666666666667
